#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1092009000 ; 3.75357 ; 3.30223 ; 0 ; 0
1092124000 ; 3.73409 ; 3.302 ; 0 ; 0
1092255000 ; 3.74626 ; 3.30208 ; 0 ; 0
1092397000 ; 3.72191 ; 3.30231 ; 0 ; 0
1092510000 ; 3.72313 ; 3.30215 ; 0 ; 0
1092638000 ; 3.74139 ; 3.302 ; 0 ; 0
1092761000 ; 3.73044 ; 3.30215 ; 0 ; 0
1092878000 ; 3.73044 ; 3.30208 ; 0 ; 0
1092992000 ; 3.73409 ; 3.3033 ; 0 ; 0
1093112000 ; 3.71461 ; 3.30223 ; 0 ; 0
1093243000 ; 3.73409 ; 3.30261 ; 0 ; 0
1093355000 ; 3.73774 ; 3.302 ; 0 ; 0
1093466000 ; 3.73044 ; 3.30215 ; 0 ; 0
1093592000 ; 3.73652 ; 3.30177 ; 0 ; 0
1093718000 ; 3.73165 ; 3.30185 ; 0 ; 0
1093833000 ; 3.73165 ; 3.30208 ; 0 ; 0
1093954000 ; 3.73044 ; 3.30185 ; 0 ; 0
1094081000 ; 3.73044 ; 3.302 ; 0 ; 0
1094192000 ; 3.74748 ; 3.30177 ; 0 ; 0
1094304000 ; 3.73774 ; 3.30185 ; 0 ; 0
1094431000 ; 3.73044 ; 3.30208 ; 0 ; 0
1094556000 ; 3.73044 ; 3.30193 ; 0 ; 0
1094669000 ; 3.73896 ; 3.30208 ; 0 ; 0
1094788000 ; 3.72313 ; 3.30353 ; 0 ; 0
1094915000 ; 3.72191 ; 3.30208 ; 0 ; 0
1095042000 ; 3.73409 ; 3.30185 ; 0 ; 0
1095159000 ; 3.73896 ; 3.30231 ; 0 ; 0
1095271000 ; 3.72678 ; 3.30193 ; 0 ; 0
1095389000 ; 3.74505 ; 3.30223 ; 0 ; 0
1095517000 ; 3.73287 ; 3.30185 ; 0 ; 0
1095639000 ; 3.73287 ; 3.30223 ; 0 ; 0
1095749000 ; 3.72922 ; 3.30223 ; 0 ; 0
1095884000 ; 3.73044 ; 3.30193 ; 0 ; 0
1095994000 ; 3.728 ; 3.302 ; 0 ; 0
1096121000 ; 3.73896 ; 3.30231 ; 0 ; 0
1096229000 ; 3.72313 ; 3.30208 ; 0 ; 0
1096356000 ; 3.73531 ; 3.30208 ; 0 ; 0
1096481000 ; 3.73652 ; 3.30269 ; 0 ; 0
1096602000 ; 3.72922 ; 3.30185 ; 0 ; 0
1096734000 ; 3.74261 ; 3.30185 ; 0 ; 0
1096866000 ; 3.74139 ; 3.30223 ; 0 ; 0
1096999000 ; 3.728 ; 3.30231 ; 0 ; 0
1097108000 ; 3.74626 ; 3.302 ; 0 ; 0
1097232000 ; 3.73652 ; 3.30208 ; 0 ; 0
1097386000 ; 3.74626 ; 3.30208 ; 0 ; 0
1097519000 ; 3.74383 ; 3.30223 ; 0 ; 0
1097653000 ; 3.73287 ; 3.30208 ; 0 ; 0
1097780000 ; 3.73165 ; 3.302 ; 0 ; 0
1097907000 ; 3.72922 ; 3.30215 ; 0 ; 0
1098017000 ; 3.72557 ; 3.302 ; 0 ; 0
1098144000 ; 3.72922 ; 3.302 ; 0 ; 0
