#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
759010000 ; 0.00203014 ; 3.30307 ; 0 ; 0
759092000 ; 0.00220943 ; 3.30315 ; 0 ; 0
759177000 ; 0.00206066 ; 3.30452 ; 0 ; 0
759259000 ; 0.00280452 ; 3.30429 ; 0 ; 0
759344000 ; 0.00153423 ; 3.30307 ; 0 ; 0
759426000 ; 0.00202633 ; 3.3033 ; 0 ; 0
759508000 ; 0.00165248 ; 3.30322 ; 0 ; 0
759590000 ; 0.00111461 ; 3.30315 ; 0 ; 0
759674000 ; 0.00112987 ; 3.30467 ; 0 ; 0
759756000 ; 0.00127102 ; 3.30452 ; 0 ; 0
759838000 ; 0.0022285 ; 3.30345 ; 0 ; 0
759922000 ; 0.00192714 ; 3.30299 ; 0 ; 0
760003000 ; 0.00164104 ; 3.30322 ; 0 ; 0
760085000 ; 0.00210262 ; 3.30307 ; 0 ; 0
760169000 ; 0.00156475 ; 3.30338 ; 0 ; 0
760252000 ; 0.00185848 ; 3.30322 ; 0 ; 0
760334000 ; 0.00215984 ; 3.30315 ; 0 ; 0
760416000 ; 0.00122524 ; 3.30383 ; 0 ; 0
760502000 ; 0.00170589 ; 3.30284 ; 0 ; 0
760586000 ; 0.00260616 ; 3.30315 ; 0 ; 0
760669000 ; 0.00105739 ; 3.30322 ; 0 ; 0
760751000 ; 0.00187755 ; 3.30322 ; 0 ; 0
760833000 ; 0.0019424 ; 3.3033 ; 0 ; 0
760915000 ; 0.00145794 ; 3.3033 ; 0 ; 0
760999000 ; 0.00132824 ; 3.3033 ; 0 ; 0
761083000 ; 0.00170208 ; 3.30338 ; 0 ; 0
761166000 ; 0.00148464 ; 3.30307 ; 0 ; 0
761250000 ; 0.00130535 ; 3.30345 ; 0 ; 0
761334000 ; 0.00130535 ; 3.30322 ; 0 ; 0
761416000 ; 0.00201488 ; 3.30299 ; 0 ; 0
761500000 ; 0.00176311 ; 3.30307 ; 0 ; 0
761582000 ; 0.00187755 ; 3.3033 ; 0 ; 0
761664000 ; 0.00189663 ; 3.30322 ; 0 ; 0
761746000 ; 0.00270534 ; 3.30315 ; 0 ; 0
761830000 ; 0.0026939 ; 3.30437 ; 0 ; 0
761912000 ; 0.13036 ; 3.30406 ; 0 ; 0
761994000 ; 0.127778 ; 3.30338 ; 0 ; 0
762077000 ; 0.132584 ; 3.30238 ; 0 ; 0
762157000 ; 0.121686 ; 3.30246 ; 0 ; 0
762241000 ; 0.129048 ; 3.30238 ; 0 ; 0
762324000 ; 0.131917 ; 3.30231 ; 0 ; 0
762406000 ; 0.133733 ; 3.30231 ; 0 ; 0
762490000 ; 0.133183 ; 3.30345 ; 0 ; 0
762572000 ; 0.136727 ; 3.30345 ; 0 ; 0
762652000 ; 0.132096 ; 3.30238 ; 0 ; 0
762734000 ; 0.134644 ; 3.30231 ; 0 ; 0
762820000 ; 0.129014 ; 3.30238 ; 0 ; 0
762903000 ; 0.000145679 ; 3.30307 ; 0 ; 0
762987000 ; 0.00154949 ; 3.30299 ; 0 ; 0
763069000 ; 0.0023582 ; 3.3033 ; 0 ; 0
763154000 ; 0.00154186 ; 3.30315 ; 0 ; 0
763240000 ; 0.00284649 ; 3.30315 ; 0 ; 0
763322000 ; 0.000946766 ; 3.30299 ; 0 ; 0
763406000 ; 0.00127483 ; 3.30292 ; 0 ; 0
763488000 ; 0.00215984 ; 3.30429 ; 0 ; 0
763574000 ; 0.000969654 ; 3.30307 ; 0 ; 0
763656000 ; 0.00149227 ; 3.30315 ; 0 ; 0
763738000 ; 0.00223613 ; 3.30338 ; 0 ; 0
763818000 ; 0.134194 ; 3.30238 ; 0 ; 0
763903000 ; 0.137147 ; 3.3033 ; 0 ; 0
763990000 ; 0.138093 ; 3.30391 ; 0 ; 0
764072000 ; 0.133931 ; 3.30353 ; 0 ; 0
764154000 ; 0.12896 ; 3.3033 ; 0 ; 0
764238000 ; 0.134064 ; 3.30238 ; 0 ; 0
764322000 ; 0.126 ; 3.30307 ; 0 ; 0
764408000 ; 0.123708 ; 3.30223 ; 0 ; 0
764490000 ; 0.132779 ; 3.30284 ; 0 ; 0
764572000 ; 0.132535 ; 3.30238 ; 0 ; 0
764657000 ; 0.128735 ; 3.30246 ; 0 ; 0
764741000 ; 0.132096 ; 3.30246 ; 0 ; 0
764825000 ; 0.000984913 ; 3.3046 ; 0 ; 0
764907000 ; 0.0012672 ; 3.30406 ; 0 ; 0
764989000 ; 0.00177837 ; 3.30338 ; 0 ; 0
765071000 ; 0.00102687 ; 3.30322 ; 0 ; 0
765153000 ; 0.00191951 ; 3.30322 ; 0 ; 0
765235000 ; 0.00299907 ; 3.30292 ; 0 ; 0
765318000 ; 0.00166774 ; 3.30307 ; 0 ; 0
765402000 ; 0.00169445 ; 3.30299 ; 0 ; 0
765488000 ; 0.00159145 ; 3.30315 ; 0 ; 0
765570000 ; 0.000851398 ; 3.30322 ; 0 ; 0
765654000 ; 0.00102306 ; 3.30414 ; 0 ; 0
765738000 ; 0.136792 ; 3.30215 ; 0 ; 0
765820000 ; 0.129414 ; 3.30215 ; 0 ; 0
765902000 ; 0.132996 ; 3.30231 ; 0 ; 0
765984000 ; 0.128449 ; 3.30261 ; 0 ; 0
766067000 ; 0.120744 ; 3.30254 ; 0 ; 0
766151000 ; 0.134774 ; 3.30414 ; 0 ; 0
