#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1078715000 ; 0.00103832 ; 3.30315 ; 0 ; 0
1078798000 ; 0.00200725 ; 3.30338 ; 0 ; 0
1078880000 ; 0.000992542 ; 3.30338 ; 0 ; 0
1078964000 ; 0.00178981 ; 3.30338 ; 0 ; 0
1079046000 ; 0.00125957 ; 3.30338 ; 0 ; 0
1079130000 ; 0.00177837 ; 3.30322 ; 0 ; 0
1079214000 ; 0.00248027 ; 3.30482 ; 0 ; 0
1079296000 ; 0.00267101 ; 3.30353 ; 0 ; 0
1079380000 ; 0.00162578 ; 3.30338 ; 0 ; 0
1079462000 ; 0.00182796 ; 3.30376 ; 0 ; 0
1079546000 ; 0.000801807 ; 3.30498 ; 0 ; 0
1079628000 ; 0.00155712 ; 3.30437 ; 0 ; 0
1079711000 ; 0.0024345 ; 3.3033 ; 0 ; 0
1079795000 ; 0.00226665 ; 3.3033 ; 0 ; 0
1079879000 ; 0.00219417 ; 3.30399 ; 0 ; 0
1079962000 ; 0.000923878 ; 3.30315 ; 0 ; 0
1080046000 ; 0.0018394 ; 3.30338 ; 0 ; 0
1080127000 ; 0.00293041 ; 3.30338 ; 0 ; 0
1080209000 ; 0.0029533 ; 3.30376 ; 0 ; 0
1080291000 ; 0.00172878 ; 3.30315 ; 0 ; 0
1080374000 ; 0.00108028 ; 3.30338 ; 0 ; 0
1080460000 ; 0.00254131 ; 3.30322 ; 0 ; 0
1080542000 ; 0.00180126 ; 3.30307 ; 0 ; 0
1080624000 ; 0.00150753 ; 3.3033 ; 0 ; 0
1080707000 ; 0.00176311 ; 3.3033 ; 0 ; 0
1080790000 ; 0.000977283 ; 3.3046 ; 0 ; 0
1080872000 ; 0.00192714 ; 3.30444 ; 0 ; 0
1080958000 ; 0.00147319 ; 3.3033 ; 0 ; 0
1081040000 ; 0.00201107 ; 3.3036 ; 0 ; 0
1081124000 ; 0.00178218 ; 3.30399 ; 0 ; 0
1081208000 ; 0.00187374 ; 3.30345 ; 0 ; 0
1081290000 ; 0.00114513 ; 3.3033 ; 0 ; 0
1081374000 ; 0.00279689 ; 3.30498 ; 0 ; 0
1081457000 ; 0.00249553 ; 3.3033 ; 0 ; 0
1081539000 ; 0.00207592 ; 3.30345 ; 0 ; 0
1081624000 ; 0.00165248 ; 3.30345 ; 0 ; 0
1081708000 ; 0.00190425 ; 3.30338 ; 0 ; 0
1081791000 ; 0.00126339 ; 3.3033 ; 0 ; 0
1081876000 ; 0.00224758 ; 3.30437 ; 0 ; 0
1081960000 ; 0.000912433 ; 3.30353 ; 0 ; 0
1082042000 ; 0.0024345 ; 3.30307 ; 0 ; 0
1082126000 ; 0.000870472 ; 3.30338 ; 0 ; 0
1082211000 ; 0.00141216 ; 3.3033 ; 0 ; 0
1082295000 ; 0.00229335 ; 3.30338 ; 0 ; 0
1082377000 ; 0.00339962 ; 3.30353 ; 0 ; 0
1082459000 ; 0.075978 ; 3.30261 ; 0 ; 0
1082546000 ; 0.0816963 ; 3.30284 ; 0 ; 0
1082631000 ; 0.0836151 ; 3.30269 ; 0 ; 0
1082713000 ; 0.0848816 ; 3.30254 ; 0 ; 0
1082795000 ; 0.0808761 ; 3.30269 ; 0 ; 0
1082877000 ; 0.086457 ; 3.30246 ; 0 ; 0
1082959000 ; 0.0793312 ; 3.30284 ; 0 ; 0
1083043000 ; 0.0870178 ; 3.30406 ; 0 ; 0
1083125000 ; 0.0809524 ; 3.30406 ; 0 ; 0
1083207000 ; 0.0789383 ; 3.30376 ; 0 ; 0
1083289000 ; 0.0826233 ; 3.30307 ; 0 ; 0
1083371000 ; 0.0807579 ; 3.30299 ; 0 ; 0
1083453000 ; 0.0839927 ; 3.30261 ; 0 ; 0
1083535000 ; 0.0853546 ; 3.30261 ; 0 ; 0
1083617000 ; 0.0848777 ; 3.30269 ; 0 ; 0
1083701000 ; 0.0805099 ; 3.30261 ; 0 ; 0
1083783000 ; 0.00195003 ; 3.30307 ; 0 ; 0
1083865000 ; 0.00138546 ; 3.30322 ; 0 ; 0
1083947000 ; 0.00212169 ; 3.30322 ; 0 ; 0
1084031000 ; 0.00196529 ; 3.30437 ; 0 ; 0
1084113000 ; 0.00190044 ; 3.30513 ; 0 ; 0
1084197000 ; 0.00250316 ; 3.30368 ; 0 ; 0
1084283000 ; 0.00244213 ; 3.30376 ; 0 ; 0
1084367000 ; 0.00181652 ; 3.3036 ; 0 ; 0
1084451000 ; 0.00346447 ; 3.30391 ; 0 ; 0
1084533000 ; 0.00238109 ; 3.30322 ; 0 ; 0
1084615000 ; 0.00156856 ; 3.30338 ; 0 ; 0
1084697000 ; 0.00122905 ; 3.30322 ; 0 ; 0
1084782000 ; 0.00132442 ; 3.30307 ; 0 ; 0
1084864000 ; 0.00165248 ; 3.30322 ; 0 ; 0
1084948000 ; 0.00123668 ; 3.30414 ; 0 ; 0
1085032000 ; 0.00114894 ; 3.3033 ; 0 ; 0
1085115000 ; 0.00147319 ; 3.3033 ; 0 ; 0
1085199000 ; 0.0799644 ; 3.30383 ; 0 ; 0
1085281000 ; 0.084214 ; 3.30414 ; 0 ; 0
1085363000 ; 0.0834892 ; 3.30399 ; 0 ; 0
1085445000 ; 0.0799148 ; 3.30414 ; 0 ; 0
1085527000 ; 0.0803459 ; 3.30399 ; 0 ; 0
1085609000 ; 0.0822685 ; 3.30368 ; 0 ; 0
1085692000 ; 0.0814293 ; 3.30269 ; 0 ; 0
1085775000 ; 0.0800483 ; 3.30269 ; 0 ; 0
1085859000 ; 0.0800331 ; 3.30414 ; 0 ; 0
1085941000 ; 0.0800102 ; 3.30414 ; 0 ; 0
1086023000 ; 0.0805404 ; 3.30399 ; 0 ; 0
1086105000 ; 0.0815513 ; 3.30338 ; 0 ; 0
1086187000 ; 0.0777061 ; 3.30284 ; 0 ; 0
1086271000 ; 0.0805023 ; 3.30246 ; 0 ; 0
1086355000 ; 0.0819404 ; 3.3036 ; 0 ; 0
1086441000 ; 0.0793998 ; 3.30276 ; 0 ; 0
1086526000 ; 0.00433422 ; 3.30315 ; 0 ; 0
1086610000 ; 0.00112224 ; 3.30338 ; 0 ; 0
1086692000 ; 0.00125576 ; 3.3033 ; 0 ; 0
1086776000 ; 0.00240779 ; 3.30482 ; 0 ; 0
1086858000 ; 0.00133586 ; 3.30429 ; 0 ; 0
1086940000 ; 0.00162197 ; 3.30383 ; 0 ; 0
1087022000 ; 0.0012939 ; 3.30338 ; 0 ; 0
1087104000 ; 0.00304103 ; 3.30307 ; 0 ; 0
1087186000 ; 0.00232387 ; 3.3033 ; 0 ; 0
1087268000 ; 0.00324703 ; 3.30322 ; 0 ; 0
1087350000 ; 0.00178981 ; 3.30322 ; 0 ; 0
1087432000 ; 0.00118328 ; 3.3033 ; 0 ; 0
1087516000 ; 0.00167156 ; 3.30345 ; 0 ; 0
1087600000 ; 0.00135875 ; 3.30338 ; 0 ; 0
1087682000 ; 0.00237346 ; 3.30353 ; 0 ; 0
1087768000 ; 0.00213314 ; 3.3046 ; 0 ; 0
1087852000 ; 0.00130916 ; 3.30322 ; 0 ; 0
1087934000 ; 0.0803611 ; 3.30276 ; 0 ; 0
1088017000 ; 0.0841301 ; 3.30284 ; 0 ; 0
1088099000 ; 0.0821846 ; 3.30276 ; 0 ; 0
1088185000 ; 0.0814369 ; 3.30246 ; 0 ; 0
1088267000 ; 0.0838287 ; 3.30254 ; 0 ; 0
1088349000 ; 0.0782592 ; 3.30238 ; 0 ; 0
1088431000 ; 0.0825279 ; 3.30261 ; 0 ; 0
1088513000 ; 0.0825279 ; 3.30261 ; 0 ; 0
1088595000 ; 0.0788543 ; 3.30269 ; 0 ; 0
1088679000 ; 0.0820663 ; 3.30261 ; 0 ; 0
1088761000 ; 0.0838325 ; 3.30284 ; 0 ; 0
1088845000 ; 0.0783203 ; 3.30284 ; 0 ; 0
1088929000 ; 0.0790603 ; 3.30276 ; 0 ; 0
1089011000 ; 0.0780952 ; 3.30276 ; 0 ; 0
1089093000 ; 0.0913436 ; 3.30254 ; 0 ; 0
1089175000 ; 0.0867851 ; 3.30261 ; 0 ; 0
1089257000 ; 0.0870407 ; 3.30254 ; 0 ; 0
1089339000 ; 6.1756e-05 ; 3.30322 ; 0 ; 0
1089425000 ; 0.000691181 ; 3.30322 ; 0 ; 0
1089507000 ; 0.00165248 ; 3.3033 ; 0 ; 0
1089589000 ; 0.00150371 ; 3.30315 ; 0 ; 0
1089671000 ; 0.00231624 ; 3.3033 ; 0 ; 0
1089757000 ; 0.00118709 ; 3.30315 ; 0 ; 0
1089839000 ; 0.00125194 ; 3.30315 ; 0 ; 0
1089921000 ; 0.00156093 ; 3.3033 ; 0 ; 0
1090008000 ; 0.00141216 ; 3.30322 ; 0 ; 0
1090090000 ; 0.00151516 ; 3.30338 ; 0 ; 0
1090174000 ; 0.000729328 ; 3.30315 ; 0 ; 0
1090256000 ; 0.00101925 ; 3.30353 ; 0 ; 0
1090342000 ; 0.00137401 ; 3.30353 ; 0 ; 0
1090426000 ; 0.00140453 ; 3.30437 ; 0 ; 0
1090509000 ; 0.00172878 ; 3.30345 ; 0 ; 0
1090595000 ; 0.0015533 ; 3.30452 ; 0 ; 0
1090677000 ; 0.00190807 ; 3.30467 ; 0 ; 0
1090759000 ; 0.00155712 ; 3.30444 ; 0 ; 0
1090842000 ; 0.00135494 ; 3.3033 ; 0 ; 0
1090924000 ; 0.00188137 ; 3.30322 ; 0 ; 0
1091006000 ; 0.00151134 ; 3.30322 ; 0 ; 0
1091088000 ; 0.00245357 ; 3.30322 ; 0 ; 0
1091175000 ; 0.00111843 ; 3.3033 ; 0 ; 0
1091257000 ; 0.00280071 ; 3.30307 ; 0 ; 0
1091339000 ; 0.00259853 ; 3.3033 ; 0 ; 0
1091421000 ; 0.00232769 ; 3.30322 ; 0 ; 0
1091503000 ; 0.00247264 ; 3.30307 ; 0 ; 0
1091585000 ; 0.000672108 ; 3.3033 ; 0 ; 0
1091667000 ; 0.00226284 ; 3.3033 ; 0 ; 0
1091750000 ; 0.00195766 ; 3.3033 ; 0 ; 0
1091832000 ; 0.00232769 ; 3.30338 ; 0 ; 0
