#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
252284704 ; 0.00232909 ; 3.30338 ; 0 ; 0
252418704 ; 0.00108931 ; 3.30338 ; 0 ; 0
252691704 ; 0.00111602 ; 3.30376 ; 0 ; 0
252903704 ; 0.00239013 ; 3.30353 ; 0 ; 0
253075704 ; 0.00199721 ; 3.3033 ; 0 ; 0
253272704 ; 0.00187514 ; 3.3033 ; 0 ; 0
253457704 ; 0.00158141 ; 3.30353 ; 0 ; 0
253606704 ; 0.00157759 ; 3.3033 ; 0 ; 0
253746704 ; 0.00170348 ; 3.30322 ; 0 ; 0
253869704 ; 0.00231002 ; 3.30353 ; 0 ; 0
254004704 ; 0.00137923 ; 3.3033 ; 0 ; 0
254185704 ; 0.0019171 ; 3.30353 ; 0 ; 0
254404704 ; 0.000944355 ; 3.30315 ; 0 ; 0
254549704 ; 0.00200103 ; 3.3036 ; 0 ; 0
254746704 ; 0.00167678 ; 3.30444 ; 0 ; 0
254911704 ; 0.00155089 ; 3.30368 ; 0 ; 0
255070704 ; 0.00310347 ; 3.3033 ; 0 ; 0
255212704 ; 0.00153945 ; 3.3036 ; 0 ; 0
255396704 ; 0.00123046 ; 3.30322 ; 0 ; 0
255556704 ; 0.00140212 ; 3.30353 ; 0 ; 0
255732704 ; 0.00174926 ; 3.3033 ; 0 ; 0
255902704 ; 0.00194381 ; 3.3033 ; 0 ; 0
256085704 ; 0.00192092 ; 3.3033 ; 0 ; 0
256260704 ; 0.00123809 ; 3.30338 ; 0 ; 0
256417704 ; 0.000936726 ; 3.30338 ; 0 ; 0
256580704 ; 0.000978687 ; 3.3033 ; 0 ; 0
