#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
922795000 ; 0.000801807 ; 3.30345 ; 0 ; 0
922877000 ; 0.00192714 ; 3.30338 ; 0 ; 0
922961000 ; 0.00038982 ; 3.30475 ; 0 ; 0
923046000 ; 0.0010345 ; 3.30353 ; 0 ; 0
923132000 ; 0.00103832 ; 3.30315 ; 0 ; 0
923212000 ; 0.000653034 ; 3.30437 ; 0 ; 0
923296000 ; 0.00159145 ; 3.30338 ; 0 ; 0
923385000 ; 0.000927692 ; 3.30368 ; 0 ; 0
923469000 ; 0.000492817 ; 3.30299 ; 0 ; 0
923554000 ; 0.000767475 ; 3.3033 ; 0 ; 0
930377000 ; 0.00179744 ; 3.30345 ; 0 ; 0
930459000 ; 0.00130153 ; 3.30322 ; 0 ; 0
930543000 ; 0.000439411 ; 3.30467 ; 0 ; 0
930626000 ; 0.000275379 ; 3.30322 ; 0 ; 0
930709000 ; 0.00186229 ; 3.30338 ; 0 ; 0
930791000 ; 0.00102306 ; 3.30315 ; 0 ; 0
930875000 ; 0.0003326 ; 3.30322 ; 0 ; 0
930960000 ; 0.00220943 ; 3.30338 ; 0 ; 0
931042000 ; 0.000786548 ; 3.30307 ; 0 ; 0
931125000 ; 0.00117946 ; 3.30353 ; 0 ; 0
931209000 ; 0.00148082 ; 3.30505 ; 0 ; 0
931291000 ; 0.000630146 ; 3.3049 ; 0 ; 0
931375000 ; 0.00095058 ; 3.30345 ; 0 ; 0
931458000 ; 0.000553852 ; 3.30353 ; 0 ; 0
931540000 ; 0.000588184 ; 3.30345 ; 0 ; 0
931624000 ; 0.00107647 ; 3.30437 ; 0 ; 0
931709000 ; 0.000740772 ; 3.30345 ; 0 ; 0
931793000 ; 0.00101162 ; 3.30505 ; 0 ; 0
931876000 ; 0.00139309 ; 3.30307 ; 0 ; 0
931958000 ; 0.00126339 ; 3.30345 ; 0 ; 0
932040000 ; 0.000946766 ; 3.3033 ; 0 ; 0
932122000 ; 0.000935322 ; 3.3033 ; 0 ; 0
932204000 ; 0.00119854 ; 3.30353 ; 0 ; 0
932286000 ; 0.00186229 ; 3.30345 ; 0 ; 0
932371000 ; 0.000401264 ; 3.3036 ; 0 ; 0
932455000 ; 0.000466114 ; 3.30307 ; 0 ; 0
932537000 ; 0.000931507 ; 3.30315 ; 0 ; 0
932619000 ; 0.000744587 ; 3.3033 ; 0 ; 0
932701000 ; 0.000977283 ; 3.30315 ; 0 ; 0
932785000 ; 0.000305897 ; 3.30315 ; 0 ; 0
932869000 ; 0.00113369 ; 3.30322 ; 0 ; 0
932954000 ; 0.000538593 ; 3.3033 ; 0 ; 0
933035000 ; 0.00026012 ; 3.30338 ; 0 ; 0
933118000 ; 0.000977283 ; 3.30338 ; 0 ; 0
933200000 ; 0.000862842 ; 3.30345 ; 0 ; 0
933282000 ; 0.00118709 ; 3.30437 ; 0 ; 0
933364000 ; 0.000775104 ; 3.30338 ; 0 ; 0
933447000 ; -0.000338787 ; 3.30482 ; 0 ; 0
933533000 ; 0.000969654 ; 3.30444 ; 0 ; 0
933615000 ; 0.000546223 ; 3.30406 ; 0 ; 0
933700000 ; 0.00121761 ; 3.30338 ; 0 ; 0
933786000 ; 0.00299907 ; 3.30307 ; 0 ; 0
933868000 ; 0.000843769 ; 3.30322 ; 0 ; 0
