#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
74293000 ; 3.77751 ; 3.30193 ; 0 ; 0
74375000 ; 3.76656 ; 3.30193 ; 0 ; 0
74457000 ; 3.77143 ; 3.30193 ; 0 ; 0
74540000 ; 3.77386 ; 3.30177 ; 0 ; 0
74623000 ; 3.78482 ; 3.30185 ; 0 ; 0
74707000 ; 3.77143 ; 3.30223 ; 0 ; 0
74791000 ; 3.77629 ; 3.302 ; 0 ; 0
74880000 ; 3.77264 ; 3.30208 ; 0 ; 0
74964000 ; 3.78603 ; 3.30193 ; 0 ; 0
75049000 ; 3.77629 ; 3.30223 ; 0 ; 0
75133000 ; 3.76047 ; 3.30193 ; 0 ; 0
75219000 ; 3.76047 ; 3.30307 ; 0 ; 0
75308000 ; 3.77143 ; 3.30177 ; 0 ; 0
75391000 ; 3.76534 ; 3.30353 ; 0 ; 0
75481000 ; 3.76899 ; 3.30147 ; 0 ; 0
75572000 ; 3.77873 ; 3.30177 ; 0 ; 0
75670000 ; 3.77021 ; 3.302 ; 0 ; 0
75757000 ; 3.77751 ; 3.30177 ; 0 ; 0
75845000 ; 3.76777 ; 3.30193 ; 0 ; 0
75939000 ; 3.77873 ; 3.30215 ; 0 ; 0
76029000 ; 3.7629 ; 3.302 ; 0 ; 0
76118000 ; 3.77629 ; 3.302 ; 0 ; 0
76209000 ; 3.77264 ; 3.30185 ; 0 ; 0
76295000 ; 3.77264 ; 3.302 ; 0 ; 0
76389000 ; 3.79456 ; 3.30185 ; 0 ; 0
76479000 ; 3.8043 ; 3.302 ; 0 ; 0
76566000 ; 3.80795 ; 3.30193 ; 0 ; 0
76659000 ; 3.8043 ; 3.302 ; 0 ; 0
76748000 ; 3.82134 ; 3.30215 ; 0 ; 0
76839000 ; 3.80308 ; 3.302 ; 0 ; 0
76929000 ; 3.82256 ; 3.30208 ; 0 ; 0
77018000 ; 3.79699 ; 3.30261 ; 0 ; 0
77108000 ; 3.8043 ; 3.30193 ; 0 ; 0
77194000 ; 3.80917 ; 3.30338 ; 0 ; 0
77286000 ; 3.80551 ; 3.30185 ; 0 ; 0
77378000 ; 3.81038 ; 3.30185 ; 0 ; 0
77469000 ; 3.81525 ; 3.30185 ; 0 ; 0
77554000 ; 3.80551 ; 3.30193 ; 0 ; 0
77650000 ; 3.8116 ; 3.30193 ; 0 ; 0
77736000 ; 3.81404 ; 3.30353 ; 0 ; 0
77828000 ; 3.81647 ; 3.30193 ; 0 ; 0
77916000 ; 3.80673 ; 3.30162 ; 0 ; 0
78007000 ; 3.81769 ; 3.30208 ; 0 ; 0
78094000 ; 3.81282 ; 3.30177 ; 0 ; 0
78181000 ; 3.80917 ; 3.30269 ; 0 ; 0
78272000 ; 3.81282 ; 3.3017 ; 0 ; 0
78369000 ; 3.81891 ; 3.30185 ; 0 ; 0
78458000 ; 3.8116 ; 3.30231 ; 0 ; 0
78545000 ; 3.81525 ; 3.30208 ; 0 ; 0
78641000 ; 3.80917 ; 3.30177 ; 0 ; 0
78729000 ; 3.81525 ; 3.30177 ; 0 ; 0
78817000 ; 3.81769 ; 3.30299 ; 0 ; 0
78904000 ; 3.82256 ; 3.3033 ; 0 ; 0
78987000 ; 3.80795 ; 3.30193 ; 0 ; 0
79079000 ; 3.80308 ; 3.30193 ; 0 ; 0
79169000 ; 3.8043 ; 3.30193 ; 0 ; 0
79263000 ; 3.82012 ; 3.30193 ; 0 ; 0
79352000 ; 3.80673 ; 3.30193 ; 0 ; 0
79445000 ; 3.81404 ; 3.30185 ; 0 ; 0
79533000 ; 3.81404 ; 3.30162 ; 0 ; 0
79623000 ; 3.81404 ; 3.30177 ; 0 ; 0
79715000 ; 3.81891 ; 3.30185 ; 0 ; 0
79805000 ; 3.83352 ; 3.3017 ; 0 ; 0
79887000 ; 3.79821 ; 3.302 ; 0 ; 0
79976000 ; 3.79943 ; 3.302 ; 0 ; 0
80067000 ; 3.80795 ; 3.30185 ; 0 ; 0
80161000 ; 3.82378 ; 3.30254 ; 0 ; 0
80258000 ; 3.82134 ; 3.30185 ; 0 ; 0
80346000 ; 3.78238 ; 3.30185 ; 0 ; 0
80433000 ; 3.77386 ; 3.30162 ; 0 ; 0
80527000 ; 3.76777 ; 3.30193 ; 0 ; 0
80615000 ; 3.77629 ; 3.30185 ; 0 ; 0
80704000 ; 3.76656 ; 3.30162 ; 0 ; 0
80789000 ; 3.78603 ; 3.30177 ; 0 ; 0
80881000 ; 3.76412 ; 3.30193 ; 0 ; 0
80975000 ; 3.77995 ; 3.30223 ; 0 ; 0
81062000 ; 3.76047 ; 3.30193 ; 0 ; 0
81152000 ; 3.7629 ; 3.30193 ; 0 ; 0
81244000 ; 3.77751 ; 3.30177 ; 0 ; 0
81336000 ; 3.75925 ; 3.30177 ; 0 ; 0
81423000 ; 3.75925 ; 3.30185 ; 0 ; 0
81517000 ; 3.8043 ; 3.30193 ; 0 ; 0
81607000 ; 3.80551 ; 3.30193 ; 0 ; 0
81691000 ; 3.8323 ; 3.30177 ; 0 ; 0
81779000 ; 3.78482 ; 3.30193 ; 0 ; 0
81871000 ; 3.75073 ; 3.30315 ; 0 ; 0
81964000 ; 3.75195 ; 3.30185 ; 0 ; 0
82053000 ; 3.76169 ; 3.30177 ; 0 ; 0
82144000 ; 3.76047 ; 3.30162 ; 0 ; 0
82235000 ; 3.76412 ; 3.30185 ; 0 ; 0
82324000 ; 3.75682 ; 3.30292 ; 0 ; 0
82411000 ; 3.77508 ; 3.3033 ; 0 ; 0
82494000 ; 3.76899 ; 3.30193 ; 0 ; 0
82590000 ; 3.78116 ; 3.30193 ; 0 ; 0
82681000 ; 3.76047 ; 3.30208 ; 0 ; 0
82770000 ; 3.77143 ; 3.30223 ; 0 ; 0
82866000 ; 3.76656 ; 3.30185 ; 0 ; 0
82953000 ; 3.76412 ; 3.30292 ; 0 ; 0
83044000 ; 3.75195 ; 3.30185 ; 0 ; 0
83135000 ; 3.76534 ; 3.302 ; 0 ; 0
83223000 ; 3.75925 ; 3.3017 ; 0 ; 0
83309000 ; 3.84812 ; 3.302 ; 0 ; 0
83394000 ; 3.87613 ; 3.30185 ; 0 ; 0
83486000 ; 3.87247 ; 3.30269 ; 0 ; 0
83574000 ; 3.87369 ; 3.302 ; 0 ; 0
83666000 ; 3.87734 ; 3.30208 ; 0 ; 0
83755000 ; 3.87491 ; 3.30208 ; 0 ; 0
83846000 ; 3.89074 ; 3.30193 ; 0 ; 0
83940000 ; 3.87004 ; 3.30193 ; 0 ; 0
84031000 ; 3.88587 ; 3.30185 ; 0 ; 0
84124000 ; 3.87126 ; 3.30185 ; 0 ; 0
84212000 ; 3.88221 ; 3.30162 ; 0 ; 0
84303000 ; 3.87247 ; 3.30208 ; 0 ; 0
84392000 ; 3.89561 ; 3.3036 ; 0 ; 0
84484000 ; 3.88708 ; 3.30193 ; 0 ; 0
84576000 ; 3.86639 ; 3.30185 ; 0 ; 0
84662000 ; 3.87491 ; 3.30177 ; 0 ; 0
84754000 ; 3.88343 ; 3.30185 ; 0 ; 0
84841000 ; 3.87369 ; 3.30193 ; 0 ; 0
84936000 ; 3.881 ; 3.302 ; 0 ; 0
85023000 ; 3.88221 ; 3.302 ; 0 ; 0
85118000 ; 3.87004 ; 3.30193 ; 0 ; 0
85205000 ; 3.87247 ; 3.302 ; 0 ; 0
85291000 ; 3.86517 ; 3.30177 ; 0 ; 0
85390000 ; 3.89074 ; 3.302 ; 0 ; 0
85475000 ; 3.87004 ; 3.30185 ; 0 ; 0
85566000 ; 3.86517 ; 3.30231 ; 0 ; 0
85655000 ; 3.87734 ; 3.30223 ; 0 ; 0
85744000 ; 3.8676 ; 3.30193 ; 0 ; 0
85832000 ; 3.86152 ; 3.30185 ; 0 ; 0
85923000 ; 3.87126 ; 3.30307 ; 0 ; 0
86013000 ; 3.87856 ; 3.30193 ; 0 ; 0
86099000 ; 3.87247 ; 3.30193 ; 0 ; 0
86184000 ; 3.87734 ; 3.30185 ; 0 ; 0
86278000 ; 3.88343 ; 3.30193 ; 0 ; 0
86365000 ; 3.87856 ; 3.30215 ; 0 ; 0
86456000 ; 3.86882 ; 3.30193 ; 0 ; 0
86547000 ; 3.88708 ; 3.30193 ; 0 ; 0
86635000 ; 3.86395 ; 3.30185 ; 0 ; 0
86728000 ; 3.8603 ; 3.30223 ; 0 ; 0
86824000 ; 3.86395 ; 3.302 ; 0 ; 0
86915000 ; 3.87978 ; 3.302 ; 0 ; 0
87000000 ; 3.87734 ; 3.30215 ; 0 ; 0
87086000 ; 3.87613 ; 3.30193 ; 0 ; 0
87178000 ; 3.87491 ; 3.30193 ; 0 ; 0
87267000 ; 3.87004 ; 3.30208 ; 0 ; 0
87357000 ; 3.87126 ; 3.30185 ; 0 ; 0
87447000 ; 3.87126 ; 3.30215 ; 0 ; 0
87533000 ; 3.88343 ; 3.302 ; 0 ; 0
87619000 ; 3.89561 ; 3.30185 ; 0 ; 0
87700000 ; 3.909 ; 3.302 ; 0 ; 0
87785000 ; 3.92604 ; 3.30208 ; 0 ; 0
87873000 ; 3.937 ; 3.30193 ; 0 ; 0
87963000 ; 3.92726 ; 3.30193 ; 0 ; 0
88054000 ; 3.93578 ; 3.30223 ; 0 ; 0
88144000 ; 3.937 ; 3.302 ; 0 ; 0
88234000 ; 3.94552 ; 3.30208 ; 0 ; 0
88322000 ; 3.92726 ; 3.30185 ; 0 ; 0
88412000 ; 3.92361 ; 3.302 ; 0 ; 0
88501000 ; 3.92848 ; 3.30208 ; 0 ; 0
88586000 ; 3.91874 ; 3.30193 ; 0 ; 0
88678000 ; 3.91387 ; 3.30223 ; 0 ; 0
88770000 ; 3.92969 ; 3.30223 ; 0 ; 0
88861000 ; 3.94187 ; 3.30223 ; 0 ; 0
88948000 ; 3.94187 ; 3.30208 ; 0 ; 0
89033000 ; 3.93213 ; 3.30215 ; 0 ; 0
89124000 ; 3.93578 ; 3.30269 ; 0 ; 0
89217000 ; 3.94065 ; 3.30208 ; 0 ; 0
89309000 ; 3.92969 ; 3.30185 ; 0 ; 0
89392000 ; 3.92726 ; 3.30215 ; 0 ; 0
89479000 ; 3.92482 ; 3.30215 ; 0 ; 0
89574000 ; 3.93456 ; 3.30185 ; 0 ; 0
89669000 ; 3.92848 ; 3.302 ; 0 ; 0
89757000 ; 3.937 ; 3.30193 ; 0 ; 0
89846000 ; 3.9443 ; 3.30193 ; 0 ; 0
89936000 ; 3.94065 ; 3.30223 ; 0 ; 0
90028000 ; 3.92969 ; 3.30231 ; 0 ; 0
90119000 ; 3.93091 ; 3.302 ; 0 ; 0
90212000 ; 3.93943 ; 3.302 ; 0 ; 0
90298000 ; 3.94309 ; 3.30193 ; 0 ; 0
90383000 ; 3.95648 ; 3.30338 ; 0 ; 0
90480000 ; 3.92604 ; 3.30292 ; 0 ; 0
90566000 ; 3.93456 ; 3.30269 ; 0 ; 0
90661000 ; 3.93578 ; 3.302 ; 0 ; 0
90745000 ; 3.93456 ; 3.30185 ; 0 ; 0
90836000 ; 3.91874 ; 3.30223 ; 0 ; 0
90929000 ; 3.91996 ; 3.30231 ; 0 ; 0
91019000 ; 3.93213 ; 3.302 ; 0 ; 0
91107000 ; 3.93578 ; 3.30193 ; 0 ; 0
91192000 ; 3.92361 ; 3.30231 ; 0 ; 0
91280000 ; 3.9443 ; 3.30185 ; 0 ; 0
91370000 ; 3.93213 ; 3.30208 ; 0 ; 0
91458000 ; 3.92848 ; 3.302 ; 0 ; 0
91547000 ; 3.92482 ; 3.30208 ; 0 ; 0
91644000 ; 3.92848 ; 3.30208 ; 0 ; 0
91741000 ; 3.94065 ; 3.3017 ; 0 ; 0
91831000 ; 3.92848 ; 3.30215 ; 0 ; 0
91920000 ; 3.92361 ; 3.30193 ; 0 ; 0
92013000 ; 3.93335 ; 3.30177 ; 0 ; 0
92101000 ; 3.93822 ; 3.30208 ; 0 ; 0
92188000 ; 3.93822 ; 3.30208 ; 0 ; 0
92278000 ; 3.93456 ; 3.302 ; 0 ; 0
92369000 ; 3.937 ; 3.30223 ; 0 ; 0
92457000 ; 3.94674 ; 3.30254 ; 0 ; 0
92549000 ; 3.92117 ; 3.302 ; 0 ; 0
92638000 ; 3.93578 ; 3.30208 ; 0 ; 0
92727000 ; 3.93578 ; 3.30193 ; 0 ; 0
92822000 ; 3.94674 ; 3.30193 ; 0 ; 0
92912000 ; 3.92482 ; 3.30368 ; 0 ; 0
92999000 ; 3.78603 ; 3.30299 ; 0 ; 0
93081000 ; 3.74829 ; 3.30315 ; 0 ; 0
93167000 ; 3.76412 ; 3.30276 ; 0 ; 0
93260000 ; 3.75316 ; 3.30193 ; 0 ; 0
93353000 ; 3.79456 ; 3.30223 ; 0 ; 0
93446000 ; 3.77021 ; 3.30185 ; 0 ; 0
93538000 ; 3.77508 ; 3.302 ; 0 ; 0
93627000 ; 3.77386 ; 3.30193 ; 0 ; 0
93719000 ; 3.77508 ; 3.30193 ; 0 ; 0
93814000 ; 3.76047 ; 3.30208 ; 0 ; 0
93898000 ; 3.77021 ; 3.30215 ; 0 ; 0
93981000 ; 3.76656 ; 3.30185 ; 0 ; 0
94072000 ; 3.77386 ; 3.30185 ; 0 ; 0
94166000 ; 3.74586 ; 3.30238 ; 0 ; 0
94258000 ; 3.76656 ; 3.30185 ; 0 ; 0
94346000 ; 3.77751 ; 3.3033 ; 0 ; 0
94434000 ; 3.77143 ; 3.302 ; 0 ; 0
94526000 ; 3.78238 ; 3.30185 ; 0 ; 0
94619000 ; 3.77264 ; 3.30193 ; 0 ; 0
94711000 ; 3.79212 ; 3.30185 ; 0 ; 0
94802000 ; 3.75316 ; 3.30246 ; 0 ; 0
94882000 ; 3.77629 ; 3.30276 ; 0 ; 0
94973000 ; 3.75438 ; 3.30193 ; 0 ; 0
95067000 ; 3.7556 ; 3.302 ; 0 ; 0
95159000 ; 3.76777 ; 3.30246 ; 0 ; 0
95247000 ; 3.7556 ; 3.30315 ; 0 ; 0
95337000 ; 3.77508 ; 3.302 ; 0 ; 0
95428000 ; 3.7629 ; 3.30193 ; 0 ; 0
95519000 ; 3.7629 ; 3.30177 ; 0 ; 0
95611000 ; 3.77143 ; 3.30223 ; 0 ; 0
95700000 ; 3.76899 ; 3.30185 ; 0 ; 0
95789000 ; 3.77995 ; 3.30292 ; 0 ; 0
95876000 ; 3.76412 ; 3.30193 ; 0 ; 0
95969000 ; 3.77751 ; 3.30193 ; 0 ; 0
96056000 ; 3.76899 ; 3.30215 ; 0 ; 0
96148000 ; 3.76899 ; 3.302 ; 0 ; 0
96234000 ; 3.75438 ; 3.30238 ; 0 ; 0
96324000 ; 3.75803 ; 3.302 ; 0 ; 0
96417000 ; 3.77629 ; 3.302 ; 0 ; 0
96509000 ; 3.75803 ; 3.30193 ; 0 ; 0
96597000 ; 3.77751 ; 3.30215 ; 0 ; 0
96685000 ; 3.77264 ; 3.30193 ; 0 ; 0
96778000 ; 3.77143 ; 3.30193 ; 0 ; 0
96869000 ; 3.76656 ; 3.30193 ; 0 ; 0
96956000 ; 3.77508 ; 3.302 ; 0 ; 0
97047000 ; 3.76777 ; 3.30208 ; 0 ; 0
97138000 ; 3.77629 ; 3.30208 ; 0 ; 0
97226000 ; 3.77143 ; 3.30215 ; 0 ; 0
97318000 ; 3.77143 ; 3.30208 ; 0 ; 0
97408000 ; 3.77264 ; 3.30185 ; 0 ; 0
97497000 ; 3.78969 ; 3.30185 ; 0 ; 0
97586000 ; 3.77751 ; 3.30261 ; 0 ; 0
97674000 ; 3.76412 ; 3.3017 ; 0 ; 0
97761000 ; 3.77143 ; 3.30185 ; 0 ; 0
97854000 ; 3.77873 ; 3.30193 ; 0 ; 0
97937000 ; 3.77629 ; 3.30208 ; 0 ; 0
98030000 ; 3.76412 ; 3.302 ; 0 ; 0
98127000 ; 3.7556 ; 3.30246 ; 0 ; 0
98219000 ; 3.76534 ; 3.30193 ; 0 ; 0
98306000 ; 3.77143 ; 3.30208 ; 0 ; 0
98398000 ; 3.75803 ; 3.3017 ; 0 ; 0
98483000 ; 3.76777 ; 3.302 ; 0 ; 0
98578000 ; 3.76047 ; 3.30177 ; 0 ; 0
98666000 ; 3.78847 ; 3.302 ; 0 ; 0
98757000 ; 3.76534 ; 3.302 ; 0 ; 0
98846000 ; 3.77264 ; 3.30208 ; 0 ; 0
98935000 ; 3.76656 ; 3.30223 ; 0 ; 0
99029000 ; 3.75925 ; 3.302 ; 0 ; 0
99116000 ; 3.77386 ; 3.30208 ; 0 ; 0
99203000 ; 3.76412 ; 3.30185 ; 0 ; 0
99295000 ; 3.78482 ; 3.30177 ; 0 ; 0
99379000 ; 3.77143 ; 3.30315 ; 0 ; 0
99467000 ; 3.76169 ; 3.30193 ; 0 ; 0
99560000 ; 3.77508 ; 3.302 ; 0 ; 0
99651000 ; 3.77751 ; 3.30208 ; 0 ; 0
99742000 ; 3.77751 ; 3.302 ; 0 ; 0
99832000 ; 3.77264 ; 3.30208 ; 0 ; 0
99925000 ; 3.76777 ; 3.30185 ; 0 ; 0
100016000 ; 3.77508 ; 3.30185 ; 0 ; 0
100108000 ; 3.78603 ; 3.30193 ; 0 ; 0
