#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1142901000 ; 0.00221706 ; 3.30399 ; 0 ; 0
1142983000 ; 0.00146938 ; 3.30322 ; 0 ; 0
1143067000 ; 0.00153804 ; 3.30322 ; 0 ; 0
1143149000 ; 0.00235439 ; 3.30338 ; 0 ; 0
1143231000 ; 0.00203395 ; 3.30299 ; 0 ; 0
1143316000 ; 0.00134731 ; 3.30353 ; 0 ; 0
1143398000 ; 0.00236965 ; 3.30315 ; 0 ; 0
1143480000 ; 0.000920063 ; 3.30345 ; 0 ; 0
1143562000 ; 0.00212932 ; 3.30322 ; 0 ; 0
1143648000 ; 0.00237346 ; 3.3046 ; 0 ; 0
1143732000 ; 0.00173641 ; 3.30345 ; 0 ; 0
1143815000 ; 0.00159145 ; 3.30338 ; 0 ; 0
1143899000 ; 0.00442577 ; 3.30467 ; 0 ; 0
1143983000 ; 0.00162578 ; 3.30322 ; 0 ; 0
1144065000 ; 0.00112606 ; 3.3033 ; 0 ; 0
1144147000 ; 0.00131679 ; 3.30338 ; 0 ; 0
1144233000 ; 0.0014999 ; 3.30322 ; 0 ; 0
1144317000 ; 0.00238872 ; 3.30338 ; 0 ; 0
1144399000 ; 0.00217128 ; 3.3036 ; 0 ; 0
1144481000 ; 0.00115657 ; 3.30414 ; 0 ; 0
1144565000 ; 0.00213695 ; 3.30467 ; 0 ; 0
1144648000 ; 0.00289989 ; 3.30338 ; 0 ; 0
1144730000 ; 0.00249172 ; 3.30315 ; 0 ; 0
1144812000 ; 0.00201107 ; 3.30338 ; 0 ; 0
1144895000 ; 0.000778919 ; 3.30315 ; 0 ; 0
1144977000 ; 0.00214077 ; 3.3033 ; 0 ; 0
1145059000 ; 0.00191951 ; 3.30338 ; 0 ; 0
1145143000 ; 0.00211406 ; 3.30315 ; 0 ; 0
1145225000 ; 0.000912433 ; 3.3033 ; 0 ; 0
1145309000 ; 0.00209117 ; 3.30345 ; 0 ; 0
1145391000 ; 0.00252605 ; 3.30338 ; 0 ; 0
1145475000 ; 0.00211406 ; 3.30338 ; 0 ; 0
1145557000 ; 0.00146175 ; 3.30338 ; 0 ; 0
1145639000 ; 0.00180126 ; 3.30338 ; 0 ; 0
1145721000 ; 0.00203777 ; 3.30338 ; 0 ; 0
1145803000 ; 0.000946766 ; 3.30437 ; 0 ; 0
1145887000 ; 0.00182796 ; 3.30338 ; 0 ; 0
1145972000 ; 0.000878101 ; 3.30315 ; 0 ; 0
1146056000 ; 0.00117946 ; 3.30338 ; 0 ; 0
1146138000 ; 0.00153041 ; 3.30322 ; 0 ; 0
1146222000 ; 0.00225139 ; 3.30322 ; 0 ; 0
1146304000 ; 0.00104213 ; 3.30338 ; 0 ; 0
1146386000 ; 0.0019157 ; 3.30338 ; 0 ; 0
1146468000 ; 0.0022285 ; 3.30345 ; 0 ; 0
1146550000 ; 0.00142742 ; 3.30338 ; 0 ; 0
1146633000 ; 0.00244594 ; 3.30383 ; 0 ; 0
1146715000 ; 0.0022285 ; 3.30505 ; 0 ; 0
1146797000 ; 0.00349117 ; 3.30467 ; 0 ; 0
1146881000 ; 0.00122905 ; 3.30338 ; 0 ; 0
1146963000 ; 0.00220943 ; 3.30315 ; 0 ; 0
1147049000 ; 0.0028503 ; 3.30338 ; 0 ; 0
1147131000 ; 0.00193477 ; 3.30322 ; 0 ; 0
1147213000 ; 0.000992542 ; 3.30368 ; 0 ; 0
1147296000 ; 0.00199581 ; 3.30338 ; 0 ; 0
1147378000 ; 0.00306011 ; 3.30322 ; 0 ; 0
1147460000 ; 0.00117946 ; 3.30338 ; 0 ; 0
1147542000 ; 0.00196148 ; 3.30315 ; 0 ; 0
1147625000 ; 0.00083614 ; 3.30322 ; 0 ; 0
1147707000 ; 0.00150753 ; 3.3033 ; 0 ; 0
1147789000 ; 0.00128627 ; 3.30345 ; 0 ; 0
1147871000 ; 0.000729328 ; 3.30322 ; 0 ; 0
1147955000 ; 0.000843769 ; 3.30505 ; 0 ; 0
1148037000 ; 0.000668293 ; 3.3046 ; 0 ; 0
1148122000 ; 0.00169063 ; 3.30345 ; 0 ; 0
1148206000 ; 0.00233913 ; 3.30322 ; 0 ; 0
1148288000 ; 0.00235057 ; 3.30376 ; 0 ; 0
1148370000 ; 0.00310588 ; 3.30338 ; 0 ; 0
1148456000 ; 0.00221706 ; 3.30475 ; 0 ; 0
1148540000 ; 0.000973469 ; 3.30353 ; 0 ; 0
1148624000 ; 0.00135494 ; 3.30315 ; 0 ; 0
1148706000 ; 0.00104595 ; 3.30338 ; 0 ; 0
1148790000 ; 0.00254512 ; 3.30338 ; 0 ; 0
1148874000 ; 0.00112224 ; 3.3033 ; 0 ; 0
1148958000 ; 0.00162578 ; 3.30467 ; 0 ; 0
1149041000 ; 0.00121379 ; 3.30322 ; 0 ; 0
1149123000 ; 0.00239254 ; 3.3033 ; 0 ; 0
1149205000 ; 0.00251461 ; 3.30307 ; 0 ; 0
1149289000 ; 0.00173641 ; 3.3033 ; 0 ; 0
