#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1268251000 ; 0.00110698 ; 3.3033 ; 0 ; 0
1268333000 ; 0.000786548 ; 3.3033 ; 0 ; 0
1268416000 ; 0.000500446 ; 3.30345 ; 0 ; 0
1268498000 ; 0.000988727 ; 3.30353 ; 0 ; 0
1268582000 ; 0.00137401 ; 3.30475 ; 0 ; 0
1268666000 ; 0.00177456 ; 3.30338 ; 0 ; 0
1268748000 ; 0.000500446 ; 3.3033 ; 0 ; 0
1268834000 ; 0.00167537 ; 3.3033 ; 0 ; 0
1268917000 ; 0.000889545 ; 3.30345 ; 0 ; 0
1268999000 ; 0.000569111 ; 3.30338 ; 0 ; 0
1269081000 ; 0.00113369 ; 3.30307 ; 0 ; 0
1269165000 ; 0.000908619 ; 3.3049 ; 0 ; 0
1269247000 ; 0.000820881 ; 3.30475 ; 0 ; 0
1269331000 ; 0.00114132 ; 3.30345 ; 0 ; 0
1269414000 ; -4.12408e-05 ; 3.30345 ; 0 ; 0
1269495000 ; 0.000843769 ; 3.30353 ; 0 ; 0
1269577000 ; 0.000855213 ; 3.30353 ; 0 ; 0
1269661000 ; 0.000363117 ; 3.30353 ; 0 ; 0
1269743000 ; 0.000866657 ; 3.30421 ; 0 ; 0
1269825000 ; 0.00135875 ; 3.3033 ; 0 ; 0
1269907000 ; 0.00191188 ; 3.30475 ; 0 ; 0
1269990000 ; 0.000691181 ; 3.30498 ; 0 ; 0
1270072000 ; 0.000668293 ; 3.30475 ; 0 ; 0
1270157000 ; 0.000775104 ; 3.3033 ; 0 ; 0
1270241000 ; 0.00161434 ; 3.3046 ; 0 ; 0
1270323000 ; 0.00160289 ; 3.30521 ; 0 ; 0
1270407000 ; 0.000687366 ; 3.30345 ; 0 ; 0
1270491000 ; 0.00082851 ; 3.30345 ; 0 ; 0
1270575000 ; 0.00051189 ; 3.30315 ; 0 ; 0
1270658000 ; 0.000477558 ; 3.30338 ; 0 ; 0
1270742000 ; 0.000778919 ; 3.30475 ; 0 ; 0
1270824000 ; 0.00242305 ; 3.30513 ; 0 ; 0
1270908000 ; 0.00139309 ; 3.30322 ; 0 ; 0
1270990000 ; 0.00204921 ; 3.30322 ; 0 ; 0
1271076000 ; 0.00143123 ; 3.3036 ; 0 ; 0
1271158000 ; 0.129861 ; 3.30276 ; 0 ; 0
1271242000 ; 0.13086 ; 3.30246 ; 0 ; 0
1271326000 ; 0.133435 ; 3.30406 ; 0 ; 0
1271412000 ; 0.123757 ; 3.30246 ; 0 ; 0
1271494000 ; 0.133069 ; 3.30246 ; 0 ; 0
1271576000 ; 0.130791 ; 3.30276 ; 0 ; 0
1271660000 ; 0.136384 ; 3.30269 ; 0 ; 0
1271742000 ; 0.132577 ; 3.30246 ; 0 ; 0
1271824000 ; 0.121701 ; 3.30276 ; 0 ; 0
1271908000 ; 0.000553852 ; 3.30353 ; 0 ; 0
1271990000 ; 0.00108409 ; 3.30345 ; 0 ; 0
1272074000 ; 0.00159908 ; 3.30406 ; 0 ; 0
1272156000 ; 0.00117565 ; 3.30322 ; 0 ; 0
1272238000 ; 0.00117946 ; 3.3033 ; 0 ; 0
1272320000 ; 0.00121379 ; 3.3036 ; 0 ; 0
1272404000 ; 0.000485187 ; 3.30338 ; 0 ; 0
1272486000 ; 0.00158763 ; 3.3036 ; 0 ; 0
1272570000 ; 3.12384e-05 ; 3.30498 ; 0 ; 0
1272654000 ; 0.000992542 ; 3.30368 ; 0 ; 0
1272736000 ; 0.000439411 ; 3.3036 ; 0 ; 0
1272816000 ; 0.128468 ; 3.30307 ; 0 ; 0
1272900000 ; 0.131337 ; 3.30292 ; 0 ; 0
1272982000 ; 0.128228 ; 3.30269 ; 0 ; 0
1273064000 ; 0.130608 ; 3.30254 ; 0 ; 0
1273147000 ; 0.128899 ; 3.30276 ; 0 ; 0
1273229000 ; 0.127919 ; 3.30238 ; 0 ; 0
1273311000 ; 0.126958 ; 3.30254 ; 0 ; 0
1273393000 ; 0.126752 ; 3.30254 ; 0 ; 0
1273475000 ; 0.133454 ; 3.30246 ; 0 ; 0
1273557000 ; 1.97943e-05 ; 3.3033 ; 0 ; 0
1273643000 ; 0.000118976 ; 3.30345 ; 0 ; 0
1273724000 ; 0.000946766 ; 3.30345 ; 0 ; 0
1273807000 ; 0.00108028 ; 3.30345 ; 0 ; 0
