#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1332887000 ; 0.000679737 ; 3.3036 ; 0 ; 0
1332970000 ; 0.000603443 ; 3.30338 ; 0 ; 0
1333054000 ; 0.00044704 ; 3.30353 ; 0 ; 0
1333136000 ; 0.00138546 ; 3.30338 ; 0 ; 0
1333218000 ; 0.0014236 ; 3.3036 ; 0 ; 0
1333302000 ; 0.00235439 ; 3.30307 ; 0 ; 0
1333384000 ; 0.0011108 ; 3.30338 ; 0 ; 0
1333467000 ; 0.00160671 ; 3.30353 ; 0 ; 0
1333551000 ; 0.000820881 ; 3.3036 ; 0 ; 0
1333635000 ; 0.00166774 ; 3.30322 ; 0 ; 0
1333717000 ; 0.000981098 ; 3.30353 ; 0 ; 0
1333800000 ; 0.00130916 ; 3.30467 ; 0 ; 0
1333882000 ; 0.00120998 ; 3.30406 ; 0 ; 0
1333964000 ; 0.000565296 ; 3.3049 ; 0 ; 0
1334046000 ; 0.00107647 ; 3.3036 ; 0 ; 0
1334128000 ; 0.000469929 ; 3.30376 ; 0 ; 0
1334212000 ; 3.12384e-05 ; 3.30353 ; 0 ; 0
1334296000 ; 0.000813251 ; 3.3046 ; 0 ; 0
1334379000 ; 0.00122905 ; 3.3046 ; 0 ; 0
1334461000 ; 0.00168682 ; 3.30437 ; 0 ; 0
1334543000 ; 0.000946766 ; 3.30467 ; 0 ; 0
1334625000 ; 0.000859028 ; 3.30399 ; 0 ; 0
1334707000 ; 0.000351673 ; 3.30315 ; 0 ; 0
1334789000 ; 0.000973469 ; 3.30322 ; 0 ; 0
1334871000 ; 0.00141979 ; 3.30345 ; 0 ; 0
1334957000 ; 0.0011108 ; 3.30498 ; 0 ; 0
1335039000 ; 0.00117946 ; 3.30498 ; 0 ; 0
1335125000 ; 0.000427967 ; 3.30345 ; 0 ; 0
1335211000 ; 0.00104976 ; 3.3033 ; 0 ; 0
1335295000 ; 0.000920063 ; 3.30482 ; 0 ; 0
1335379000 ; 0.000565296 ; 3.30383 ; 0 ; 0
1335463000 ; -5.64996e-05 ; 3.30353 ; 0 ; 0
1335545000 ; 0.000443226 ; 3.3036 ; 0 ; 0
1335627000 ; 0.000839954 ; 3.30338 ; 0 ; 0
1335711000 ; 0.0020721 ; 3.30353 ; 0 ; 0
1335797000 ; 0.000530964 ; 3.30536 ; 0 ; 0
1335879000 ; 0.00125957 ; 3.30437 ; 0 ; 0
1335961000 ; 0.000431782 ; 3.30452 ; 0 ; 0
1336045000 ; 0.00120998 ; 3.30338 ; 0 ; 0
1336129000 ; 0.00188518 ; 3.30353 ; 0 ; 0
1336213000 ; 0.00141597 ; 3.30353 ; 0 ; 0
1336295000 ; 0.000862842 ; 3.30315 ; 0 ; 0
1336379000 ; 0.000611072 ; 3.30353 ; 0 ; 0
1336462000 ; 0.00069881 ; 3.30345 ; 0 ; 0
1336546000 ; 0.00190044 ; 3.30315 ; 0 ; 0
1336630000 ; 0.00107647 ; 3.30345 ; 0 ; 0
1336714000 ; 0.000443226 ; 3.30467 ; 0 ; 0
1336798000 ; 0.000588184 ; 3.3033 ; 0 ; 0
1336883000 ; 0.00124813 ; 3.30345 ; 0 ; 0
1336965000 ; 0.000954395 ; 3.30406 ; 0 ; 0
1337047000 ; 0.000607258 ; 3.30376 ; 0 ; 0
1337131000 ; 0.000874287 ; 3.3036 ; 0 ; 0
1344120000 ; 0.000649219 ; 3.3036 ; 0 ; 0
1353786000 ; 0.000942951 ; 3.30338 ; 0 ; 0
1353870000 ; 0.000130421 ; 3.30368 ; 0 ; 0
1353952000 ; 0.0020721 ; 3.30345 ; 0 ; 0
1354036000 ; 0.00158763 ; 3.30322 ; 0 ; 0
1354118000 ; 0.00234294 ; 3.30345 ; 0 ; 0
1354200000 ; 0.000458485 ; 3.30338 ; 0 ; 0
1354282000 ; 0.00172496 ; 3.30383 ; 0 ; 0
1354366000 ; 0.000321155 ; 3.30353 ; 0 ; 0
1354448000 ; -0.000403637 ; 3.3036 ; 0 ; 0
1354530000 ; 0.00122142 ; 3.3036 ; 0 ; 0
1354614000 ; 0.00119854 ; 3.30353 ; 0 ; 0
1354696000 ; 0.000508076 ; 3.3033 ; 0 ; 0
1354778000 ; 0.000786548 ; 3.30338 ; 0 ; 0
1354860000 ; 0.00102306 ; 3.3036 ; 0 ; 0
1354942000 ; 0.00114513 ; 3.30338 ; 0 ; 0
1355024000 ; 0.00133586 ; 3.30368 ; 0 ; 0
1355110000 ; 0.000939136 ; 3.30498 ; 0 ; 0
1355194000 ; 0.00112224 ; 3.30383 ; 0 ; 0
1355279000 ; 0.0012672 ; 3.30482 ; 0 ; 0
1355361000 ; 0.0010078 ; 3.30482 ; 0 ; 0
1355444000 ; 0.00107265 ; 3.30322 ; 0 ; 0
1355526000 ; -3.36114e-05 ; 3.30322 ; 0 ; 0
1355611000 ; 0.000962025 ; 3.30498 ; 0 ; 0
1355693000 ; 0.0011375 ; 3.30475 ; 0 ; 0
1355777000 ; 0.000775104 ; 3.30345 ; 0 ; 0
1355859000 ; 0.000859028 ; 3.30345 ; 0 ; 0
1355941000 ; 0.000546223 ; 3.30307 ; 0 ; 0
1356023000 ; 0.000305897 ; 3.30338 ; 0 ; 0
1356107000 ; 0.00115657 ; 3.30406 ; 0 ; 0
