#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
373240000 ; 3.81954 ; 3.30223 ; 0 ; 0
373389000 ; 3.8171 ; 3.30208 ; 0 ; 0
373522000 ; 3.8171 ; 3.30185 ; 0 ; 0
373635000 ; 3.82684 ; 3.30215 ; 0 ; 0
373760000 ; 3.81223 ; 3.30246 ; 0 ; 0
373890000 ; 3.80127 ; 3.30208 ; 0 ; 0
374044000 ; 3.81832 ; 3.302 ; 0 ; 0
374187000 ; 3.79762 ; 3.30208 ; 0 ; 0
374322000 ; 3.82441 ; 3.30215 ; 0 ; 0
374448000 ; 3.81467 ; 3.30193 ; 0 ; 0
374569000 ; 3.81345 ; 3.30231 ; 0 ; 0
374697000 ; 3.80493 ; 3.30215 ; 0 ; 0
374826000 ; 3.7964 ; 3.30193 ; 0 ; 0
375009000 ; 3.80006 ; 3.302 ; 0 ; 0
375196000 ; 3.8098 ; 3.30223 ; 0 ; 0
375356000 ; 3.81345 ; 3.30215 ; 0 ; 0
375514000 ; 3.82562 ; 3.30177 ; 0 ; 0
375648000 ; 3.82319 ; 3.30208 ; 0 ; 0
375793000 ; 3.82319 ; 3.30185 ; 0 ; 0
375919000 ; 3.82928 ; 3.30193 ; 0 ; 0
