#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
536056000 ; 3.81832 ; 3.30269 ; 0 ; 0
536213000 ; 3.79884 ; 3.30208 ; 0 ; 0
536403000 ; 3.79275 ; 3.302 ; 0 ; 0
536558000 ; 3.8171 ; 3.30223 ; 0 ; 0
536726000 ; 3.7964 ; 3.30208 ; 0 ; 0
536893000 ; 4.2846 ; 3.30208 ; 0 ; 0
537043000 ; 4.22008 ; 3.30185 ; 0 ; 0
537175000 ; 4.27608 ; 3.30353 ; 0 ; 0
537312000 ; 4.25904 ; 3.30215 ; 0 ; 0
537458000 ; 4.34061 ; 3.30215 ; 0 ; 0
537595000 ; 4.27852 ; 3.30193 ; 0 ; 0
537730000 ; 4.31017 ; 3.302 ; 0 ; 0
537860000 ; 4.28582 ; 3.30215 ; 0 ; 0
538000000 ; 4.22617 ; 3.30185 ; 0 ; 0
538140000 ; 4.22008 ; 3.30215 ; 0 ; 0
538283000 ; 4.28217 ; 3.30185 ; 0 ; 0
538412000 ; 4.2566 ; 3.30193 ; 0 ; 0
538532000 ; 4.13364 ; 3.30208 ; 0 ; 0
538658000 ; 4.26391 ; 3.30215 ; 0 ; 0
538785000 ; 3.79762 ; 3.30208 ; 0 ; 0
538910000 ; 3.81223 ; 3.30215 ; 0 ; 0
539069000 ; 3.81954 ; 3.30208 ; 0 ; 0
539231000 ; 3.82075 ; 3.302 ; 0 ; 0
539433000 ; 3.80006 ; 3.30215 ; 0 ; 0
546174000 ; 3.82075 ; 3.30193 ; 0 ; 0
