#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
229933000 ; 0.223651 ; 3.30261 ; 0 ; 0
230092000 ; 0.223167 ; 3.30292 ; 0 ; 0
230222000 ; 0.213115 ; 3.30269 ; 0 ; 0
230343000 ; 0.222694 ; 3.30254 ; 0 ; 0
230482000 ; 0.217578 ; 3.30284 ; 0 ; 0
230626000 ; 0.219474 ; 3.30269 ; 0 ; 0
230748000 ; 0.221317 ; 3.30269 ; 0 ; 0
230893000 ; 0.222076 ; 3.30246 ; 0 ; 0
231038000 ; 0.225906 ; 3.30269 ; 0 ; 0
231169000 ; 0.220684 ; 3.30276 ; 0 ; 0
231305000 ; 0.2294 ; 3.30238 ; 0 ; 0
231467000 ; 0.213718 ; 3.30254 ; 0 ; 0
231603000 ; 0.220142 ; 3.30269 ; 0 ; 0
231752000 ; 0.21223 ; 3.30338 ; 0 ; 0
231884000 ; 0.224487 ; 3.30254 ; 0 ; 0
232021000 ; 0.224868 ; 3.30223 ; 0 ; 0
232144000 ; 0.217117 ; 3.30269 ; 0 ; 0
232304000 ; 0.220161 ; 3.30261 ; 0 ; 0
232494000 ; 0.209262 ; 3.30231 ; 0 ; 0
232689000 ; 0.217166 ; 3.30254 ; 0 ; 0
232835000 ; 0.224002 ; 3.30238 ; 0 ; 0
233138000 ; 0.211998 ; 3.30276 ; 0 ; 0
