#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
536086000 ; 0.228012 ; 3.30299 ; 0 ; 0
536278000 ; 0.209648 ; 3.30246 ; 0 ; 0
536399000 ; 0.231517 ; 3.30292 ; 0 ; 0
536532000 ; 0.217281 ; 3.30261 ; 0 ; 0
536658000 ; 0.213676 ; 3.30315 ; 0 ; 0
536786000 ; 0.222946 ; 3.30284 ; 0 ; 0
536911000 ; 1.75494 ; 3.3033 ; 0 ; 0
537038000 ; 1.6685 ; 3.30208 ; 0 ; 0
537209000 ; 1.64781 ; 3.30238 ; 0 ; 0
537381000 ; 1.62224 ; 3.30231 ; 0 ; 0
537587000 ; 1.61981 ; 3.30238 ; 0 ; 0
537714000 ; 1.56502 ; 3.30254 ; 0 ; 0
537844000 ; 1.66607 ; 3.30246 ; 0 ; 0
538033000 ; 1.7172 ; 3.30246 ; 0 ; 0
538158000 ; 1.61737 ; 3.30254 ; 0 ; 0
538288000 ; 1.60885 ; 3.30254 ; 0 ; 0
538429000 ; 1.60763 ; 3.30238 ; 0 ; 0
538572000 ; 1.68555 ; 3.30246 ; 0 ; 0
538712000 ; 0.247348 ; 3.30276 ; 0 ; 0
538843000 ; 0.209983 ; 3.30276 ; 0 ; 0
538972000 ; 0.217262 ; 3.30276 ; 0 ; 0
539106000 ; 0.216835 ; 3.30284 ; 0 ; 0
539235000 ; 0.221893 ; 3.30284 ; 0 ; 0
539352000 ; 0.214199 ; 3.30276 ; 0 ; 0
