#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1432090000 ; 4.74724 ; 3.30208 ; 0 ; 0
1432222000 ; 4.75333 ; 3.30215 ; 0 ; 0
1432342000 ; 4.73993 ; 3.30193 ; 0 ; 0
1432485000 ; 4.74846 ; 3.30215 ; 0 ; 0
1432632000 ; 4.74846 ; 3.30223 ; 0 ; 0
1432776000 ; 4.75454 ; 3.30208 ; 0 ; 0
1432904000 ; 4.7582 ; 3.30223 ; 0 ; 0
1433042000 ; 4.75089 ; 3.302 ; 0 ; 0
1433172000 ; 4.74846 ; 3.30208 ; 0 ; 0
1433306000 ; 4.75698 ; 3.30231 ; 0 ; 0
1433459000 ; 4.74724 ; 3.30215 ; 0 ; 0
1433586000 ; 4.73506 ; 3.30223 ; 0 ; 0
1433723000 ; 4.73993 ; 3.30193 ; 0 ; 0
1433858000 ; 4.74115 ; 3.30208 ; 0 ; 0
1433987000 ; 4.74237 ; 3.30193 ; 0 ; 0
1434102000 ; 4.74602 ; 3.302 ; 0 ; 0
1434222000 ; 4.74359 ; 3.30185 ; 0 ; 0
1434353000 ; 4.74602 ; 3.30215 ; 0 ; 0
1434483000 ; 4.74724 ; 3.30193 ; 0 ; 0
1434632000 ; 4.75211 ; 3.302 ; 0 ; 0
