#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
774596000 ; 0.189792 ; 3.30254 ; 0 ; 0
774728000 ; 0.195815 ; 3.30231 ; 0 ; 0
774850000 ; 0.203632 ; 3.3036 ; 0 ; 0
774995000 ; 0.192569 ; 3.30215 ; 0 ; 0
775139000 ; 0.195384 ; 3.30254 ; 0 ; 0
775275000 ; 0.200111 ; 3.30276 ; 0 ; 0
775407000 ; 0.19791 ; 3.30276 ; 0 ; 0
775536000 ; 0.199752 ; 3.30238 ; 0 ; 0
775661000 ; 0.200298 ; 3.30223 ; 0 ; 0
775800000 ; 0.208148 ; 3.30246 ; 0 ; 0
775937000 ; 0.194503 ; 3.30238 ; 0 ; 0
776076000 ; 0.201133 ; 3.30261 ; 0 ; 0
776196000 ; 0.197734 ; 3.30246 ; 0 ; 0
776315000 ; 0.202598 ; 3.30231 ; 0 ; 0
776452000 ; 0.195029 ; 3.30231 ; 0 ; 0
776626000 ; 0.199142 ; 3.30261 ; 0 ; 0
776895000 ; 0.192969 ; 3.30254 ; 0 ; 0
777033000 ; 0.195636 ; 3.30254 ; 0 ; 0
777166000 ; 0.202022 ; 3.30246 ; 0 ; 0
777300000 ; 0.195747 ; 3.30238 ; 0 ; 0
777444000 ; 0.194076 ; 3.30261 ; 0 ; 0
