#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
898410000 ; 0.198363 ; 3.30254 ; 0 ; 0
898532000 ; 0.19118 ; 3.30238 ; 0 ; 0
898657000 ; 0.196681 ; 3.30269 ; 0 ; 0
898791000 ; 0.193278 ; 3.30254 ; 0 ; 0
898926000 ; 0.194087 ; 3.30254 ; 0 ; 0
899058000 ; 0.19284 ; 3.30261 ; 0 ; 0
899190000 ; 0.201953 ; 3.30231 ; 0 ; 0
899332000 ; 0.19683 ; 3.30276 ; 0 ; 0
899466000 ; 0.199851 ; 3.30246 ; 0 ; 0
899591000 ; 0.189716 ; 3.30261 ; 0 ; 0
899726000 ; 2.65443 ; 3.30177 ; 0 ; 0
899859000 ; 2.60451 ; 3.30215 ; 0 ; 0
899989000 ; 2.59964 ; 3.302 ; 0 ; 0
900127000 ; 2.58747 ; 3.302 ; 0 ; 0
900261000 ; 2.52903 ; 3.30208 ; 0 ; 0
900399000 ; 2.63252 ; 3.30223 ; 0 ; 0
900523000 ; 2.56677 ; 3.30215 ; 0 ; 0
900661000 ; 0.293782 ; 3.30223 ; 0 ; 0
900803000 ; 0.296217 ; 3.30238 ; 0 ; 0
900937000 ; 0.302304 ; 3.30254 ; 0 ; 0
901083000 ; 0.310826 ; 3.30231 ; 0 ; 0
901221000 ; 0.312044 ; 3.30254 ; 0 ; 0
901405000 ; 0.296217 ; 3.30231 ; 0 ; 0
901556000 ; 0.288912 ; 3.30231 ; 0 ; 0
901699000 ; 0.296217 ; 3.30254 ; 0 ; 0
901823000 ; 0.304739 ; 3.30261 ; 0 ; 0
901939000 ; 0.309609 ; 3.30254 ; 0 ; 0
902079000 ; 0.314479 ; 3.30269 ; 0 ; 0
902300000 ; 0.304739 ; 3.30284 ; 0 ; 0
902479000 ; 0.201785 ; 3.30307 ; 0 ; 0
902694000 ; 2.61304 ; 3.30254 ; 0 ; 0
902851000 ; 2.58991 ; 3.302 ; 0 ; 0
902973000 ; 2.62156 ; 3.30208 ; 0 ; 0
903107000 ; 2.59964 ; 3.30215 ; 0 ; 0
903242000 ; 2.60817 ; 3.30215 ; 0 ; 0
903374000 ; 2.53512 ; 3.30238 ; 0 ; 0
903510000 ; 0.307174 ; 3.30276 ; 0 ; 0
903655000 ; 0.308391 ; 3.30231 ; 0 ; 0
903801000 ; 0.312044 ; 3.30269 ; 0 ; 0
903936000 ; 0.299869 ; 3.30254 ; 0 ; 0
904082000 ; 0.21873 ; 3.30246 ; 0 ; 0
904226000 ; 0.223411 ; 3.30261 ; 0 ; 0
904362000 ; 0.218688 ; 3.30284 ; 0 ; 0
