#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
927130000 ; 7.36526 ; 3.30208 ; 0 ; 0
927234000 ; 7.45048 ; 3.302 ; 0 ; 0
927341000 ; 17.7453 ; 3.30162 ; 0 ; 0
927455000 ; 31.9214 ; 3.30177 ; 0 ; 0
927576000 ; 7.34822 ; 3.30223 ; 0 ; 0
927683000 ; 7.35187 ; 3.30193 ; 0 ; 0
927787000 ; 7.42979 ; 3.30185 ; 0 ; 0
927895000 ; 7.35552 ; 3.30185 ; 0 ; 0
927999000 ; 7.347 ; 3.30193 ; 0 ; 0
928106000 ; 7.43831 ; 3.30215 ; 0 ; 0
928201000 ; 28.146 ; 3.3017 ; 0 ; 0
928300000 ; 14.5677 ; 3.30185 ; 0 ; 0
928397000 ; 7.42735 ; 3.30185 ; 0 ; 0
928510000 ; 7.347 ; 3.30215 ; 0 ; 0
928610000 ; 7.44927 ; 3.30124 ; 0 ; 0
928706000 ; 7.44074 ; 3.302 ; 0 ; 0
928801000 ; 7.35674 ; 3.302 ; 0 ; 0
928905000 ; 7.44805 ; 3.30208 ; 0 ; 0
929017000 ; 7.35309 ; 3.30215 ; 0 ; 0
929130000 ; 7.34822 ; 3.30215 ; 0 ; 0
929235000 ; 7.43831 ; 3.302 ; 0 ; 0
929343000 ; 7.38231 ; 3.30177 ; 0 ; 0
929440000 ; 7.44074 ; 3.302 ; 0 ; 0
929543000 ; 7.37257 ; 3.30208 ; 0 ; 0
929645000 ; 7.37135 ; 3.30208 ; 0 ; 0
929748000 ; 7.43466 ; 3.30185 ; 0 ; 0
929856000 ; 7.35796 ; 3.30215 ; 0 ; 0
929963000 ; 8.21383 ; 3.30177 ; 0 ; 0
930062000 ; 7.36891 ; 3.30284 ; 0 ; 0
930155000 ; 28.5405 ; 3.30185 ; 0 ; 0
930263000 ; 7.44196 ; 3.30269 ; 0 ; 0
930367000 ; 7.36039 ; 3.302 ; 0 ; 0
930474000 ; 7.36283 ; 3.30231 ; 0 ; 0
930579000 ; 7.44318 ; 3.30261 ; 0 ; 0
930682000 ; 7.37378 ; 3.30276 ; 0 ; 0
930789000 ; 7.43709 ; 3.302 ; 0 ; 0
930893000 ; 7.36283 ; 3.302 ; 0 ; 0
930997000 ; 7.4444 ; 3.30193 ; 0 ; 0
931105000 ; 7.35796 ; 3.30223 ; 0 ; 0
931212000 ; 28.644 ; 3.30162 ; 0 ; 0
