#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
883008000 ; 7.35431 ; 3.30193 ; 0 ; 0
883112000 ; 7.35065 ; 3.30132 ; 0 ; 0
883217000 ; 7.35918 ; 3.30193 ; 0 ; 0
883327000 ; 24.5752 ; 3.30185 ; 0 ; 0
883434000 ; 31.4794 ; 3.30177 ; 0 ; 0
883539000 ; 7.35431 ; 3.302 ; 0 ; 0
883646000 ; 24.8869 ; 3.30185 ; 0 ; 0
883754000 ; 32.485 ; 3.30193 ; 0 ; 0
883860000 ; 7.36039 ; 3.30238 ; 0 ; 0
883965000 ; 7.3677 ; 3.30193 ; 0 ; 0
884075000 ; 30.3399 ; 3.3017 ; 0 ; 0
884176000 ; 33.0889 ; 3.30231 ; 0 ; 0
884282000 ; 7.38109 ; 3.3017 ; 0 ; 0
884379000 ; 25.1401 ; 3.30193 ; 0 ; 0
884487000 ; 31.3187 ; 3.30185 ; 0 ; 0
884582000 ; 7.35552 ; 3.30223 ; 0 ; 0
884681000 ; 28.5052 ; 3.30193 ; 0 ; 0
884793000 ; 24.7822 ; 3.302 ; 0 ; 0
884893000 ; 28.549 ; 3.30292 ; 0 ; 0
885001000 ; 7.37135 ; 3.30208 ; 0 ; 0
885111000 ; 27.9987 ; 3.30193 ; 0 ; 0
885217000 ; 31.7607 ; 3.30193 ; 0 ; 0
885331000 ; 28.5259 ; 3.302 ; 0 ; 0
885438000 ; 7.37744 ; 3.30215 ; 0 ; 0
885546000 ; 7.34578 ; 3.30193 ; 0 ; 0
885659000 ; 7.3677 ; 3.30193 ; 0 ; 0
