#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1262450408 ; 16.9657 ; 3.29437 ; 0 ; 0
1262556408 ; 16.9718 ; 3.29445 ; 0 ; 0
1262663408 ; 16.9231 ; 3.29437 ; 0 ; 0
1262772408 ; 16.9304 ; 3.29445 ; 0 ; 0
1262878408 ; 16.8939 ; 3.29437 ; 0 ; 0
1262993408 ; 16.9268 ; 3.29453 ; 0 ; 0
1263101408 ; 16.8963 ; 3.2943 ; 0 ; 0
1263222408 ; 16.9414 ; 3.29422 ; 0 ; 0
1263337408 ; 16.9329 ; 3.29536 ; 0 ; 0
1263435408 ; 16.9207 ; 3.29536 ; 0 ; 0
1263542408 ; 16.8732 ; 3.29445 ; 0 ; 0
1263648408 ; 28.6777 ; 3.29437 ; 0 ; 0
1263749408 ; 16.939 ; 3.29391 ; 0 ; 0
1263855408 ; 16.9645 ; 3.29498 ; 0 ; 0
1263969408 ; 16.9268 ; 3.29437 ; 0 ; 0
1264079408 ; 16.9219 ; 3.29437 ; 0 ; 0
1264185408 ; 16.9304 ; 3.29414 ; 0 ; 0
1264294408 ; 16.9402 ; 3.29445 ; 0 ; 0
1264397408 ; 16.9645 ; 3.29475 ; 0 ; 0
1264509408 ; 16.9377 ; 3.29414 ; 0 ; 0
1264613408 ; 16.9207 ; 3.29453 ; 0 ; 0
1264725408 ; 16.9402 ; 3.29422 ; 0 ; 0
1264837408 ; 16.9256 ; 3.29422 ; 0 ; 0
