#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
825233408 ; 28.1298 ; 3.29399 ; 0 ; 0
825340408 ; 7.38922 ; 3.29422 ; 0 ; 0
825446408 ; 21.9804 ; 3.29414 ; 0 ; 0
825555408 ; 7.37218 ; 3.29437 ; 0 ; 0
825660408 ; 7.3734 ; 3.29453 ; 0 ; 0
825769408 ; 7.38435 ; 3.29437 ; 0 ; 0
825879408 ; 7.3807 ; 3.29414 ; 0 ; 0
825995408 ; 7.38801 ; 3.29445 ; 0 ; 0
826100408 ; 7.39166 ; 3.29437 ; 0 ; 0
826212408 ; 7.3807 ; 3.29453 ; 0 ; 0
826322408 ; 7.37827 ; 3.29445 ; 0 ; 0
826424408 ; 7.34539 ; 3.2959 ; 0 ; 0
826539408 ; 7.37583 ; 3.2943 ; 0 ; 0
826645408 ; 7.38922 ; 3.29437 ; 0 ; 0
826756408 ; 28.9272 ; 3.29536 ; 0 ; 0
826870408 ; 7.37583 ; 3.29422 ; 0 ; 0
826986408 ; 28.4975 ; 3.29453 ; 0 ; 0
827094408 ; 7.38557 ; 3.29521 ; 0 ; 0
827202408 ; 7.3807 ; 3.2946 ; 0 ; 0
827300408 ; 7.39044 ; 3.29414 ; 0 ; 0
827410408 ; 7.36974 ; 3.2943 ; 0 ; 0
827517408 ; 7.39409 ; 3.29422 ; 0 ; 0
827624408 ; 28.5401 ; 3.2943 ; 0 ; 0
827720408 ; 7.38435 ; 3.29407 ; 0 ; 0
