#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2462689408 ; 7.41601 ; 3.29414 ; 0 ; 0
2462797408 ; 7.38922 ; 3.2943 ; 0 ; 0
2462910408 ; 7.3807 ; 3.29453 ; 0 ; 0
2463021408 ; 7.3807 ; 3.29437 ; 0 ; 0
2463131408 ; 7.36609 ; 3.29453 ; 0 ; 0
2463245408 ; 7.38314 ; 3.29422 ; 0 ; 0
2463350408 ; 7.38435 ; 3.29422 ; 0 ; 0
2463461408 ; 7.3807 ; 3.2946 ; 0 ; 0
2463571408 ; 7.37096 ; 3.29445 ; 0 ; 0
2463677408 ; 7.3807 ; 3.29445 ; 0 ; 0
2463787408 ; 28.8457 ; 3.29414 ; 0 ; 0
2463899408 ; 7.37583 ; 3.29407 ; 0 ; 0
2464017408 ; 28.5084 ; 3.29414 ; 0 ; 0
2464120408 ; 7.38435 ; 3.2943 ; 0 ; 0
2464240408 ; 27.4359 ; 3.29453 ; 0 ; 0
2464357408 ; 7.37827 ; 3.2946 ; 0 ; 0
2464468408 ; 7.37948 ; 3.29414 ; 0 ; 0
2464571408 ; 7.3807 ; 3.2946 ; 0 ; 0
2464678408 ; 7.39896 ; 3.29422 ; 0 ; 0
2464787408 ; 7.3807 ; 3.29483 ; 0 ; 0
2464897408 ; 7.40383 ; 3.29422 ; 0 ; 0
2465025408 ; 7.37827 ; 3.29369 ; 0 ; 0
2465135408 ; 7.3527 ; 3.29453 ; 0 ; 0
2465246408 ; 7.37705 ; 3.29399 ; 0 ; 0
2465350408 ; 7.39288 ; 3.29521 ; 0 ; 0
2465469408 ; 12.9786 ; 3.29391 ; 0 ; 0
2465585408 ; 7.38557 ; 3.29437 ; 0 ; 0
2465684408 ; 7.37948 ; 3.29437 ; 0 ; 0
2465792408 ; 7.36244 ; 3.29422 ; 0 ; 0
2465895408 ; 22.5405 ; 3.29453 ; 0 ; 0
